message,Y
"Recent reports in some media suggesting that scientists working on the SUTRA model cautioned in March about the second wave of COVID19 but attention was not paid to it, are incorrect. 

 ",1
"India s cumulative vaccination coverage exceeds 15.68 crore as Phase-3 of nationwide vaccination drive commences

On a steadily growing path, over 3 Lakh Recoveries in the last 24 hours

 ",1
"COVID19 Myths vs Facts

 Women should not take COVID19Vaccine 5 days before, 5 days after or during their menstrual cycle 

 Menstrual cycle has no effect on the Vaccine

Register for LargestVaccineDrive now  ️ ",1
" India s cumulative vaccination coverage exceeds 15.68 cr as Phase-3 of vaccination drive commences 
 More than 86 thousand beneficiaries of age group 18-44 vaccinated on Day 1 of phase-3 vaccination 
 Over 3 lakh recoveries in the last 24 hours

 ",1
"India s merchandise imports in April 2021 was USD 45.45 billion, an increase of 165.99% over USD 17.09 billion in April 2020 and an increase of 7.22% over USD 42.39 billion in April 2019. 2/2

 ",1
"India s merchandise exports in April 2021 was USD 30.21 billion, an increase of 197.03% over USD 10.17 billion in April 2020 and an increase of 16.03% over USD 26.04 billion in April 2019. 1/2

 ",1
"Raksha Mantri rajnathsingh reviews efforts of MoD &amp; ArmedForces in fight against COVID19;

Mobilization of additional health professionals, logistic support to facilitate supply of oxygen &amp; setting up new oxygen plants are top priorities

 ",1
"IndianRailways deliver 813 MT of liquid medical oxygen (LMO) in 56 tankers to various states across the country

14 OxygenExpress trains have completed their journey and 5 more loaded trains are on the run carrying 342 MT of LMO in 18 tankers

 ",1
"Price of FCI_India rice to remain Rs 2000/quintal for production of ethanol during current FY 2021-22

 ",1
".RailMinIndia records more than 10% increase in Freight loading as compared to normal year of 2019-20

 ️8th consecutive month of breaking previous loading records inspite of Covid related challenges 

 ",1
"Jal Jeevan Mission Jharkhand Presents Its Annual Action Plan 

Jharkhand plans to provide 7.50 Lakh tap connections by March, 2022 &amp; accomplish  Har Ghar Jal  target by 2024

jaljeevan_ 

 ",1
"OxygenExpress to deliver a record 250 MT of liquid medical oxygen (LMO) to Delhi, Telangana, UP by tomorrow

Delhi set to receive its 2nd oxygen express with 120 MT LMO in 6 tankers

Unite2FightCorona 

 ",1
".IndiaCoastGuard, in yet another successful search &amp; rescue operation at sea, has rescued missing Tamil Nadu fishing boat  Mercedes  in a massive search operation launched since April 24, 2021 at a distance of about 1,100 kms (590 miles) from Goa.

 ",1
"Poll gone States/UT Gear up for Foolproof Counting while Honouring Covid Protocol Arrangements 

ECISVEEP 

 ",1
"In homage to the legendary filmmaker, MIB_India  will organise year-long centenary celebrations of late Shri Satyajit Ray across India and abroad.

Shri Satyaji Ray was a renowned filmmaker, writer, illustrator, graphic designer, music composer. 

 ",1
" Myth You don't need vaccine after recovering from COVID19 

 Fact Completing the vaccine schedule irrespective of the past history of infection, will help in developing a strong immune response against the disease

Unite2FightCorona ",1
"Raksha Mantri rajnathsingh reviews efforts of DefenceMinIndia &amp; adgpi  in fight against second COVID19 wave.

Mobilisation of additional health professionals, logistic support to facilitate supply of oxygen &amp; setting up new plants are top priorities

 ",1
"7 Indian Navy Ships Deployed for Operation Samudra Setu II 

Operation Samudra Setu was launched last year by the Navy amid the COVID19 outbreak &amp; around 4000 Indian citizens stranded in neighbouring countries were successfully repatriated back

 ",1
"Sanjay Kumar Mohanty takes over the charge of new Member (Operations &amp; Business Development) Railway Board, Ministry of Railways

 ️",1
".RailMinIndia mobilises additional Covid Care Coaches for use in MP and Maharashtra

 ️Nearly 64,000 beds kept ready for utilisation by States

 ️Positive feedback being received by patients on hygiene and catering arrangements

Unite2FightCorona 

 ",1
" 

Keep a safe distance (6 feet) &amp; save lives! 

Help us fight COVID19 and follow COVIDAppropriateBehaviour

 ️Wear Mask 
 ️Maintain Social Distance ...........   ️
 ️Sanitize 

Unite2FightCorona LargestVaccineDrive ",1
"Which cases need Remdesivir, steroids, and plasma to recover?

 ️More than 85% of people who suffer from symptoms such as common cold, fever, sore throat, etc. do not require such treatment

Unite2FightCorona StayInformedStaySafe ",1
"GST Revenue collection for April  21 sets new record 

 The gross GST revenue collected in the month of April  2021 is at a record high of Rs. 1,41,384 crore
 The GST revenues during April 2021 are the highest since the introduction of GST 

 ",1
"Production of Medical Oxygen from modified Industrial Nitrogen Plants 

 About 30 industries have been identified
 Efforts are underway to make them operational at the earliest.

Details ",1
"Remdisivir for COVID19

 Considered for patients with moderate to severe disease

 Not to be used in patients who are not on oxygen support in home settings

Unite2FightCorona ",1
" ️Govt extends timelines of certain compliances, to mitigate the difficulties faced by taxpayers due to ongoing COVID19 pandemic 
 ️CBDT Circular No.8/2021 in F. No. 225/49/2021/ITA-II dated 30.04.2021 is available on 

Details ",1
" ️What is an OxygenConcentrator?
 ️When does one require it ?
 ️How is to be used/not used ?
 ️Can we use them on our own?

Experts answer to queries regarding Oxygen Concentrator ️
 

Unite2FightCorona ",1
"Import of OxygenConcentrator for personal use included in exempted category list

This exemption is valid till 31 July 2021.

 ",1
"LargestVaccineDrive  

 Govt. of India has so far provided nearly 16.37 crore vaccine doses to States/UTs free of cost
 More than 79 lakh doses are still available with the States/UTs to be administered

Details ",1
"On the 400th Prakash Purab of Sri Guru Tegh Bahadur Ji, we commemorate some of the holy shrines attached to Guru Ji's life and beyond

Sitting in the heart of Delhi, Gurudwara Sis Ganj Sahib is a living testimony of Guru ji s courage and sacrifice. GuruTeghBahadur
AmritMahotsav ",1
"At 19.45 lakh, India conducts highest ever Daily Tests in the last 24 hours

Near 3 Lakh recoveries in last 24 hours, Cumulative recoveries over 1.56 Cr 2/2

 ",1
"India s COVID19 vaccination coverage nearly 15.5 crore

More than 27 Lakh doses administered in the last 24 hours 1/2

 ",1
"""My mask protects you, and your mask protects me""

Wearing a face mask can reduce the spread of COVID19 substantially

Follow COVID appropriate behaviour to keep yourself and everybody safe.

Unite2FightCorona StaySafe  ",1
"Did you get vaccinated?? 

If not, register now  ️

Citizens above the age of 18 can register themselves for vaccination through 
 
Unite2FightCorona VaccinationForAll LargestVaccineDrive ",1
"Prime Minister narendramodi conveys greetings on Statehood Day of Gujarat and Maharashtra; says both states are home to outstanding people, who have made landmark contributions to national growth. 

 ",1
"Prime Minister narendramodi condoles loss of lives in hospital fire at Bharuch 

 ",1
"Government targets road construction worth Rs.15 lakh crore in next two years; Exudes confidence of achieving target of 40 kilometers per day of highways construction in current fiscal Union Minister nitin_gadkari 

Read Details ",1
"1st instalment of Rs. 8873.6 crore for State Disaster Response Fund (SDRF) released in advance

Up to 50% of the SDRF amount can be used by the States for COVID-19 containment measures

 ",1
"PM narendramodi bows to Sri Guru Teg Bahadur Ji on his 400th Parkash Purab

PM narendramodi also prayed at Gurudwara Sis Ganj Sahib

Details  ",1
"We can never forget the life, ideals and supreme sacrifice of Sri Guru Teg Bahadur Ji PM narendramodi 

Visits Gurudwara Sis Ganj Sahib in Delhi and offer prayers on the occasion of 400th PrakashPurab of GuruTegBahadur ",1
"COVID19 vaccination-Day 105

More than 26 lakh vaccine doses given till 8 pm push cumulative vaccine coverage to more than 15.48 crore doses

LargestVaccineDrive VaccinationForAll 

 ",1
"Prime Minister narendramodi reviews COVID19 related situation in a meeting with Empowered Groups

PM directs Government should work in close coordination with States to ensure that the poor get benefits of free food-grain without any issues

 ",1
"COVID19 patients with severe disease

Symptoms
 ️ Breathlessness
 ️ Oxygen saturation less than 90%

Consider the use of High Flow Nasal Cannula (HFNC) in patients with increasing oxygen requirement

Unite2FightCorona StaySafe ",1
"COVID19 patients with moderate disease

Symptoms
 ️ Breathlessness
 ️ Oxygen saturation 90-93%

Awake proning encouraged in all patients requiring supplemental oxygen therapy

Unite2FightCorona StaySafe ",1
"Maintain distance of 6 feet from others for your own safety. Share this information and help us to help you. 

Let's protect ourselves and others. Follow distancing norms. 

IndiaFightsCOVID19

Together we will fight COVID19 ",1
".RailMinIndia waives off charges for Covid testing and diet supplied during Covid related hospitalisation for Non Railway patients 

Waiving off these key medical charges is step towards making the health care accessible for all.

 ",1
" ️ Council of Ministers meets to discuss the situation arising out of the second wave of COVID19

 ️ National mortality rate has been falling and currently stands at 1.11%

Unite2FightCorona 

More updates in  COVID-19 bulletin  ",1
"Government facilitates faster imports of key medical devices by relaxing the conditions for clearances under Legal Metrology (Packaging Rules 2011)

These include nebulizers, oxygen concentrators, oxygen generators and more.

 ",1
"Satyajit Ray Lifetime Achievement Award for Excellence in Cinema has been instituted from this year to be given at the International Film Festival of India (IFFI) every year starting from this year.

 

(2/2)",1
".MIB_India will organise year-long centenary celebrations of late SatyajitRay across India and abroad

Series of activities being planned by the various media units of the Ministry

official_dff NFAIOfficial Films_Division FTIIOfficial 

 

(1/2)",1
"COVID19 patients suffering from mild disease must isolate themselves and follow the COVID appropriate behaviour

Seek immediate medical attention if you have difficulty in breathing or fever lasting more than 5 days

Unite2FightCorona StaySafe ",1
"Doctors answer queries in Webinar on 'COVID19 Myths Vs Reality 

""Don t go into the details of any anti-viral medication. Just stick to the advice of your physician""

- Appeal from doctors

For answers to your doubts  

Unite2FightCorona ",1
"More than 38 lakh COVID19 vaccine registrations done till 500 PM today

Get yourself registered at  

LargestVaccineDrive VaccinationForAll ",1
"OxygenExpress operations of IndianRailways continue to bring relief to the States

More than 664 metric tonnes of liquid medical oxygen (LMO) delivered to Maharashtra, Uttar Pradesh, Madhya Pradesh &amp; Delhi

Unite2FightCorona 

 ",1
"Ease of doing business gets a major boost as RailMinIndia issue guidelines for Online Payment System for Freight Charges

 ️Guidelines will be implemented from 01.06.2021 

 ️Online Payment System through FBD shall be available 24x7

 ",1
"Key features of the Online Payment System for Freight Charges

 Online Payment System through FBD shall be available 24x7
 This Online Payment System will be provided through Freight Business Development (FBD) portal via SBI's payment gateway

 ",1
"Ease of doing business gets a major boost as RailMinIndia issues guidelines for Online Payment System for Freight Charges 

Guidelines will be implemented from 01.06.2021

 ",1
"Union Agriculture Minister nstomar inaugurates National Conference on Agriculture for Kharif Campaign-2021; says agriculture and allied sectors registered continuous growth in GDP contribution amid the pandemic

 ",1
"Spitting in public spaces can increase the risk of the spread of COVID19. 

The onus is on us. Be responsible, be safe. 

Unite2FightCorona StaySafe ",1
"Council of Ministers meets to discuss the situation arising out of the second wave of COVID19 

All arms of the Government are working unitedly &amp; rapidly to deal with the situation PM narendramodi 

Unite2FightCorona 

 ",1
"Cantonment Boards extends a helping hand to civil administration/State Governments in various parts of the country to tide over the current COVID19 situation

Presently 39 Cantonment Boards are maintaining 40 general hospitals with 1,240 beds.  

 ",1
"Is your oxygen saturation less than 94% 

 Don't panic and consult your doctor  ️

Unite2FightCorona StaySafe ",1
"AndhraPradesh presents their Jal Jeevan Mission Annual Action Plan

 ️State plans to provide 32.47 lakh tap water connections in 2021-22
 ️State aims to make 13 districts and 17,044 villages  Har Ghar Jal  in the current financial year

 ",1
" LIVE NOW 

Press briefing by MoHFW_INDIA on current COVID19 situation in the country

Unite2FightCorona StaySafe

 ",1
"Consumer Price Index for Industrial Workers (2016=100)   March 2021 

 ️All-India CPI-IW for March, 2021increased by 0.6 points and stood at 119.6 points compared to 119.0 points for February 2021

Details ",1
".MoCA_GoI &amp; DGCAIndia grant permission to Telangana Government for experimental delivery of COVID19 vaccines using drones

The grant of permission is intended to achieve the dual objectives of faster vaccine delivery &amp; improved healthcare access

 ",1
"Office of the Principal Scientific Adviser releases home care tips for managing COVID19

 Maintain COVID appropriate behaviour
 Don't panic
 Isolate, rest and hydrate
 Self-monitor your health

Unite2FightCorona 

 ",1
"Prime Minister narendramodi condoles the death of Rohit Sardana 

 ",1
"Let us express our gratitude towards the CoronaWarriors and remind ourselves of the critical role they are playing in making the world a safer place to live.

Let us support them and salute their undying spirit   ️

Unite2FightCorona ThankyouCoronaWarriors ",1
"Govt. of India has so far provided more 16.33 crore vaccine doses to States/UTs Free of Cost

More than 1 crore doses are still available with the States/UTs to be administered

 ",1
".FinMinIndia to provide Rs 15,000 crore to States for Capital Expenditure 

States to get Rs.5000 crore for asset monetization/disinvestment

Guidelines on the  Scheme of Financial Assistance to States for Capital Expenditure  for 2021-22 issued

 ",1
".tribesindia joins hands with The LINK Fund to work towards tribal development. 

MoU exchanged for a project titled  Sustainable Livelihoods for Tribal Households in India 

 ",1
"Get yourself registered!!!

Everybody above the age of 18 can visit 

LargestVaccineDrive VaccinationForAll ",1
"Vice President M Venkaiah Naidu calls for according highest priority to the health needs of women; pays tributes to late Shri Yudhvir Ji while presenting the  Yudhvir Memorial Award  through a video conference to a Hyderabad-based gynaecologist. 

 ",1
"Can COVID-19 positive mother breastfeed her child?

Yes, they can continue doing it, but following certain precautions like wearing Masks; minimizes chance of infection transmission

No evidence so far which shows COVID19 is transmitted through breast milk

- Dr. Nitin Yashas ",1
"Never do it!

Some patients have a tendency to copy-paste their medical prescription &amp; give it to relatives!

Every patient has different symptoms; taking someone else's prescription can lead to unintended side-effects, can be harmful

- Dr. Rahul Kulkarni
",1
"If you suspect COVID, get tested, meet COVID Care Physician and take appropriate treatment; Antibiotics have no role in preventing COVID19

- Dr. Chaitanya H. Balakrishnan on Myths about COVID19 

Let's Spread the word
Let's Unite2FightCorona  
",1
" ️More than 2.45 Cr beneficiaries register themselves on Co-WIN as Phase III of the Vaccination commences (till 930 am today) 

 ️India s Cumulative Vaccination Coverage exceeds 15.22 Crore

 ️Nearly 3 Lakh Recoveries in the last 24 hours

Details ",1
"Doctors speak about use of Antibiotics in COVID treatment

1) Antibiotics have no role in preventing COVID19

2) Injudicious use can increase hospital stay, may even cause death!

3) Inadvisable to take antibiotics over the counter 

Watch ",1
"Seek immediate medical attention when you have difficulty in breathing or have persistent chest pain

No need for testing after the home isolation period is over

Unite2FightCorona 

Guidelines for home isolation


 ",1
"Dexamethasone in COVID treatment

Those with mild symptoms - will absolutely not benefit; drug can be harmful by suppressing immune response!

Can reduce death in moderate/severe cases
Don't start stockpiling; to be prescribed only in medical supervision
",1
"India to import 4,50,000 vials of Remdesivir

First Consignment of 75000 vials to reach today

 

",1
"PM narendramodi Condoles demise of Shri Soli Sorabjee 

",1
"Can Dexamethasone be used to treat COVID19 patients?

It has wide variety of usage
  Showed benefit in reducing deaths
  Benefit those with severe disease &amp; on ventilator 
 Benefits also those with moderate disease, receiving oxygen 
- Dr. Nitin Yashas",1
"Remdesivir can be useful, if at all, only when administered within 7 days of infection 

- Dr. Chaitanya H Balakrishnan 

Webinar on COVID19 Myths vs Realities  ",1
