worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s korean credit card firm rescued south korea s largest credit card firm has averted liquidation following a one trillion won ($960m; £499m) bail-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japanese banking battle at an end japan s sumitomo mitsui financial has withdrawn its takeover offer for rival bank ufj holdings  enabling the latter to merge with mitsubishi tokyo,,,,,,,,,,,,,, the two are set to merge their venture capital operations and there has been speculation that this could lead to a full-blown merger, japanese banks are increasingly seeking alliances to boost profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insurance bosses plead guilty another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
german growth goes into reverse germany s economy shrank 0,,,,,,,,,,,,,, the ecb s mandate is to fight rising prices by boosting interest rates - and that could further threaten germany s hopes of recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stock market eyes japan recovery japanese shares have ended the year at their highest level since 13 july amidst hopes of an economic recovery during 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard life cuts policy bonuses standard life  europe s largest mutual life insurer  has cut bonuses for with-profit policyholders,,,,,,,,,,,,,,  john gill  managing director of the insurer s life and pensions division  said that a strong stock market recovery in the past two years had only  partly compensated for losses during 2001 and 2002 , in addition  low interest rates meant that  long-term investment returns are well below historic levels   mr gill added, however  mr gill maintained that with-profits continued to perform well over the long term,  our payouts continue to stand up well against other types of long-term investments over similar periods   he said, standard life has an estimated 2,4 million with-profits policyholders, last year  the company announced that it was looking to float on the stock market in 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pernod takeover talk lifts domecq shares in uk drinks and food firm allied domecq have risen on speculation that it could be the target of a takeover by france s pernod ricard,,,,,,,,,,,,,, pernod is home to brands including chivas regal scotch whisky  havana club rum and jacob s creek wine, allied domecq s big names include malibu rum  courvoisier brandy  stolichnaya vodka and ballantine s whisky - as well as snack food chains such as dunkin  donuts and baskin-robbins ice cream, the wsj said that the two were ripe for consolidation  having each dealt with problematic parts of their portfolio, pernod has reduced the debt it took on to fund the seagram purchase to just 1,8bn euros  while allied has improved the performance of its fast-food chains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telegraph newspapers axe 90 jobs the daily and sunday telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff,,,,,,,,,,,,,, the telegraph group was bought by the barclay twins - frederick and david - last year  having previously been owned by lord conrad black s hollinger international, the brothers are currently mulling the sale of another of their businesses  retailer littlewoods,  telegraph executive murdoch maclennan said the two newspapers would add eight colour pages in the coming months,   journalists are the lifeblood of any newspaper  and maintaining the quality of the daily telegraph and the sunday telegraph for our readers is vital   he said,  however  action to improve our production capability and secure our titles against the competition is also vital,  many newspapers are investing in new printing machinery that enables them to print more colour pages  or in some cases  have colour on every page, they are hoping that by boosting colour it will make their publications more attractive to advertisers and readers alike, in recent months news corp s news international unit  which publishes the sun and the news of the world  the guardian media group  trinity mirror and the daily mail & general trust have all announced substantial investments in new printing plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court rejects $280bn tobacco case a us government claim accusing the country s biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
india power shares jump on debut shares in india s largest power producer  national thermal power corp (ntpc) have risen 13% on their stock market debut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indonesia  declines debt freeze  indonesia no longer needs the debt freeze offered by the paris club group of creditors  economics minister aburizal bakrie has reportedly said,,,,,,,,,,,,,, the paris club decision to find out more details such as how much of our debt will be subject to a moratorium, that s how far we are at this stage   said mr siregar,  the 19 member countries of the paris club are owed about $5bn this year in debt repayments by nations affected by the indian ocean tsunami, indonesia  sri lanka and the seychelles accepted the paris club offer  which was criticised by some aid groups as being too little, thailand and india have however declined the offer  with thailand prefering to keep up with its payments while india said it would prefer to rely on its own resources rather than on international aid, putting off payments may lower a country s rating among financial organisations  making it more expensive and more difficult for them to borrow money in the future  analysts said, separately  the indonesian government has said it will announce monthly how much it has received in foreign donations and how it has spent the money, welfare minister alwi shihab told ap news agency that this announcement should allay suspicion of official corruption in relief operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call to save manufacturing jobs the trades union congress (tuc) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khodorkovsky ally denies charges a close associate of former yukos boss mikhail khodorkovsky has told a court that fraud charges levelled against him are  false ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese dam firm  defies beijing  the china three gorges project corp is refusing to obey a government order to stop construction of one of its giant dams  the chinese state press has said,,,,,,,,,,,,,, it is a sister project to the main three gorges dam downstream where more than half a million people have had to be relocated  drawing criticism from environmental groups and overseas human rights activists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank set to leave rates on hold uk interest rates are set to remain on hold at 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us trade gap hits record in 2004 the gap between us exports and imports hit an all-time high of $671,,,,,,,,,,,,,, some economists say this may allow an upward revision of us economic growth in the fourth quarter, but others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets  which may in turn harm growth, for all of 2004  us exports rose 12,3% to $1,15 trillion  but imports rose even faster by 16,3% to a new record of $1,76 trillion, foreign oil exports surged by 35,7% to a record $180,7bn  reflecting the rally in global oil prices and increasing domestic demand, imports were not affected by the dollar s weakness last year,  we expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend   said economist marie-pierre ripert at ixis,,,,,,,,,,,,,,,,,,,,,,,,,,
safety alert as gm recalls cars the world s biggest carmaker general motors (gm) is recalling nearly 200 000 vehicles in the us on safety grounds  according to federal regulators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profits slide at india s dr reddy profits at indian drugmaker dr reddy s fell 93% as research costs rose and sales flagged,,,,,,,,,,,,,, dr reddy s indian competitors are gathering strength although they too face heavy competitive pressures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us crude prices surge above $53 us crude prices have soared to fresh four-month highs above $53 in the us as refinery problems propelled petrol prices to an all-time high,,,,,,,,,,,,,, oil prices are roughly 45% higher than a year ago and have risen sharply in recent weeks due to a combination of colder weather  the declining value of the dollar and fears that opec could rein in production to head off a seasonal drop in demand, instability in iraq and underlying fears about terrorism have also played a part in the rally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dollar hovers around record lows the us dollar hovered close to record lows against the euro on friday as concern grows about the size of the us budget deficit,,,,,,,,,,,,,, at the same time  german chancellor gerhard schroeder and italian prime minister silvio berlusconi voiced concerns about the strength of the euro, mr berlusconi said the euro s strength was  absolutely worrying  for italian exports, mr schroeder said in a newspaper article that stability in foreign exchange markets required a correction of global economic imbalances, investors will now look towards february s meeting of finance ministers from the g7 industrialised nations in london for clues as to whether central banks will combine forces to stem the dollar s decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rich grab half colombia poor fund half of the money put aside by the colombian government to help the country s poor is benefiting people who do not need it  a study has found,,,,,,,,,,,,,,3%  he said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
german business confidence slides german business confidence fell in february knocking hopes of a speedy recovery in europe s largest economy,,,,,,,,,,,,,, latest indications are that growth is still proving elusive and ifo president hans-werner sinn said any improvement in german domestic demand was sluggish, exports had kept things going during the first half of 2004  but demand for exports was then hit as the value of the euro hit record levels making german products less competitive overseas, on top of that  the unemployment rate has been stuck at close to 10% and manufacturing firms  including daimlerchrysler  siemens and volkswagen  have been negotiating with unions over cost cutting measures, analysts said that the ifo figures and germany s continuing problems may delay an interest rate rise by the european central bank, eurozone interest rates are at 2%  but comments from senior officials have recently focused on the threat of inflation  prompting fears that interest rates may rise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gm  ford cut output as sales fall us car firms general motors (gm) and ford have been forced to cut production in the face of falling car sales,,,,,,,,,,,,,, chrysler  the us unit of germany s daimlerchrysler  was the only detroit based automaker to boast an increase in market share during the month - with sales rising 8%,  but america s loss was its foreign rivals  gain as they continued to nibble away at the us market, while japan s top car maker toyota and nissan saw sales accelerate  even the smaller suzuki motor corp snapped up a more business with sales improving 17,6% on a year ago, in 2003  the firm launched an ambitious plan to triple us sales by 2007 as it seeks to become a bigger player in the asian assault on the us market, korea s hyundai was another big gainer  turning in a 19% surge in february sales, toyota put its rise in sales down to strong results for its redesigned avalon sedan and a 120% surge in sales of its gas-electric prius hybrid mid-size sedan as petrol-price conscious consumers looked to vehicles that were cheaper to run,  as gas prices continue their upward march  fuel efficiency catches the public eye   jim press  vice president and chief operating officer of toyota s us sales arm  said in a statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange colour clash set for court a row over the colour orange could hit the courts after mobile phone giant orange launched action against a new mobile venture from easyjet s founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
