message,Y
There's nothing to tell! He's just some guy I work with!,0
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",0
"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",0
"Wait, does he eat chalk?",0
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",0
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",0
Sounds like a date to me.,0
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",0
"Oh, yeah. Had that dream.",0
"Then I look down, and I realize there's a phone... there.",0
Instead of...?,0
That's right.,0
Never had that dream.,0
No.,0
"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",0
And they weren't looking at you before?!,0
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",0
(mortified) Hi.,0
"This guy says hello, I wanna kill myself.",0
"Are you okay, sweetie?",0
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",0
Cookie?,0
(explaining to the others) Carol moved her stuff out today.,0
Ohh.,0
(to Ross) Let me get you some coffee.,0
Thanks.,0
Ooh! Oh! (She starts to pluck at the air just in front of Ross.),0
"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",0
Fine! Be murky!,0
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",0
No you don't.,0
"No I don't, to hell with her, she left me!",0
And you never knew she was a lesbian...,0
"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",0
Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?,0
"I told mom and dad last night, they seemed to take it pretty well.",0
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",0
Sorry.,0
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",0
"Strip joint! C'mon, you're single! Have some hormones!",0
"I don't want to be single, okay? I just... I just- I just wanna be married again!",0
And I just want a million dollars! (He extends his hand hopefully.),0
Rachel?!,0
"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",0
Can I get you some coffee?,0
"(pointing at Rachel) De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",0
"Hi, sure!",0
Hi.,0
"So you wanna tell us now, or are we waiting for four wet bridesmaids?",0
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",0
Who wasn't invited to the wedding.,0
"Ooh, I was kinda hoping that wouldn't be an issue...Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.]",0
"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",0
(imitating the characters) Tuna or egg salad? Decide!,0
(in a deep voice) I'll have whatever Christine is having.,0
"(on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",0
"If I let go of my hair, my head will fall off.",0
"(re TV) Ooh, she should not be wearing those pants.",0
I say push her down the stairs.,0
Push her down the stairs! Push her down the stairs! Push her down the stairs!,0
"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",0
You can see where he'd have trouble.,0
"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",0
"Well, I guess we've established who's staying here with Monica...",0
"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",0
"Just breathe, breathe.. that's it. Just try to think of nice calm things...",0
"(sings) Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",0
I'm all better now.,0
(grins and walks to the kitchen and says to Chandler and Joey.) I helped!,0
"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",0
"(comforting her) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",0
"Joey, stop hitting on her! It's her wedding day!",0
"What, like there's a rule or something?",0
"Please don't do that again, it's a horrible sound.",0
"(over the intercom) It's, uh, it's Paul.",0
"Oh God, is it 6:30? Buzz him in!",0
Who's Paul?,0
"Paul the Wine Guy, Paul?",0
Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,0
He finally asked you out?,0
Yes!,0
"Ooh, this is a Dear Diary moment.",0
"Rach, wait, I can cancel...",0
"Please, no, go, that'd be fine!",0
"(to Ross) Are, are you okay? I mean, do you want me to stay?",0
(choked voice) That'd be good...,0
(horrified) Really?,0
"(normal voice) No, go on! It's Paul the Wine Guy!",0
"What does that mean? Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)",0
"Hi, come in! Paul, this is.. (They are all lined up next to the door.)... everybody, everybody, this is Paul.",0
Hey! Paul! Hi! The Wine Guy! Hey!,0
"I'm sorry, I didn't catch your name. Paul, was it?",0
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",0
A wandering?,0
"Change! Okay, sit down. (Shows Paul in) Two seconds.",0
"Ooh, I just pulled out four eyelashes. That can't be good.",0
"Hey, Paul!",0
Yeah?,0
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",0
"(yelling from the bedroom) Shut up, Joey!",0
"So Rachel, what're you, uh... what're you up to tonight?",0
"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",0
"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",0
"(deadpan) Yes, and we're very excited about it.",0
"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",0
"Okay, sure.",0
"Hey Pheebs, you wanna help?",0
"Oh, I wish I could, but I don't want to.",0
"(singing) Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. (sings) La-la-la-la...ohhh!",0
"(squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",0
I'm thinking we've got a bookcase here.,0
It's a beautiful thing.,0
(picking up a leftover part) What's this?,0
I would have to say that is an 'L'-shaped bracket.,0
Which goes where?,0
I have no idea.,0
Done with the bookcase!,0
All finished!,0
"(clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.",0
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",0
"Yes, please don't spoil all this fun.",0
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",0
You guys.,0
"Oh, God.",0
You got screwed.,0
Oh my God!,0
Oh my God!,0
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",0
"My brother's going through that right now, he's such a mess. How did you get through it?",0
"Well, you might try accidentally breaking something valuable of hers, say her-",0
#NAME?,0
"(laughing) That's one way! Me, I- I went for the watch.",0
"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",0
"Ooh, steer clear of you.",0
"That's right.Scene: Monica's Apartment, Rachel is talking on the phone and pacing.]",0
"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too... (The maching cuts her off again and she redials.)",0
I'm divorced! I'm only 26 and I'm divorced!,0
Shut up!,0
