7,blair prepares to name poll date tony blair is likely to name 5 may as election day when parliament returns from its easter break  the bbc s political editor has learned.  andrew marr says mr blair will ask the queen on 4 or 5 april to dissolve parliament at the end of that week. mr blair has so far resisted calls for him to name the day but all parties have stepped up campaigning recently. downing street would not be drawn on the claim  saying election timing was a matter for the prime minister.  a number 10 spokeswoman would only say:  he will announce an election when he wants to announce an election.  the move will signal a frantic week at westminster as the government is likely to try to get key legislation through parliament. the government needs its finance bill  covering the budget plans  to be passed before the commons closes for business at the end of the session on 7 april.  but it will also seek to push through its serious and organised crime bill and id cards bill. mr marr said on wednesday s today programme:  there s almost nobody at a senior level inside the government or in parliament itself who doesn t expect the election to be called on 4 or 5 april.  as soon as the commons is back after the short easter recess  tony blair whips up to the palace  asks the queen to dissolve parliament ... and we re going.  the labour government officially has until june 2006 to hold general election  but in recent years governments have favoured four-year terms.,politics
14,hague  given up  his pm ambition former conservative leader william hague says he will not stand for the leadership again  having given up his ambition to be prime minister.  mr hague  43  told the daily telegraph he would now find a life dominated by politics too  boring  and unfulfilling. mr hague  who stepped down after his party s 2001 election defeat  does not rule out a return to the front bench. he also told the paper he hopes to remain mp for richmond  north yorks  and start a family with wife ffion. mr hague  who recently had published the biography of william pitt the younger  also said he wanted to continue writing books and speech-writing.  he told the newspaper:  i don t know whether i will ever go back on to the front  but don t rush me.  asked if he would stand for the leadership again  mr hague replied:  no. definitely not.  his determination to stay away from a central role will disappoint some senior conservative members  who say the party needs him. tim collins  the shadow education secretary  said last week it would be a  huge boost  to the party if mr hague returned to the front bench. mr hague became an mp at 27 and leader of the opposition at 36. he said:  i feel fortunate that  by the age of 40  i had crammed in an entire political career.  i had been in the cabinet and been leader of the party  so now i can branch out into other things...it is a very liberating feeling.  mr hague added that he may have misjudged his own ambition to be prime minister.  maybe i wasn t as driven by politics as i thought i was   he said.,politics
29,terror suspects face house arrest uk citizens suspected of involvement in terrorism could face house arrest as part of a series of new measures outlined by the home secretary.  it comes after law lords ruled that the detention of 12 foreign terror suspects without trial breached human rights. charles clarke s planned  control orders  mean anyone suspected of being involved in terrorism could be subject to house arrest  curfews or tagging. the law society dubbed mr clarke s new proposals an  abuse of power . deals are already being sought to deport some of the foreign detainees who are mainly held in belmarsh prison in london under the current laws introduced after the us terror attacks on 11 september 2001. mr clarke said efforts would continue to deport them to their countries of origin algeria  tunisia  egypt and jordan without them facing torture or death.  under the proposed changes - prompted by the house of lords ruling - the home secretary could order british citizens or foreign suspects who could not be deported  to face house arrest or other measures such as restrictions on their movements or limits on their use of telephones and the internet.  british citizens are being included in the changes after the law lords said the current powers were discriminatory because they could only be used on foreign suspects. mr clarke also said intelligence reports showed some british nationals were now playing a more significant role in terror threats. human rights lawyer clive stafford-smith said the plans were a  further abuse of human rights in britain .  mr clarke said prosecutions were the government s first preference and promised the powers would only be used in  serious  cases  with independent scrutiny from judges.  he told mps:  there remains a public emergency threatening the life of the nation.  he accepted the law lords  ruling but argued detention powers had helped prevent attacks and deter terrorists. the current detainees would not be freed until the new powers were in place as they were still considered a national security threat  he told mps.  there have been calls for the rules for wire-tap and intercept evidence to be allowed to be used in courts but mr clarke refused to back that change.  he said intercept evidence was only a small part of the case against the men and some of it could not be used because it could put sources  lives at risk. most of the terror suspects are being held indefinitely at belmarsh prison  in london. conservative shadow home secretary david davis was worried about extending special powers to cover british citizens. he warned:  throughout history  internment has generally backfired because of the resentment it creates.  so unless the process is clearly just  the home secretary could find himself confining one known terrorist only to recruit 10 unknown terrorists.  he suggested changing the law to let security-cleared judges view evidence gathered by phone-tapping could allow more terror cases to come to court.  liberal democrat spokesman mark oaten also backed use of wire-tap evidence. he said the standard of proof for the new powers would have to be  very high indeed  and he asked whether ministers had looked at measures which fitted with human rights laws. shami chakrabarti  from human rights group liberty  joined calls for intercept evidence to be allowed in trials. she said:  adherence to the rule of law should not be a game of cat and mouse. the government should not swap one human rights  opt out  for another.,politics
31,royal couple watch nation s mood prince charles and camilla parker bowles are awaiting the nation s reaction after announcing they are to be married on 8 april.  mrs parker bowles will take the title hrh duchess of cornwall after a civil ceremony to be held at windsor castle. a daily telegraph poll of 1 313 people suggests two-thirds of britons support the couple s decision to marry. but only 40% think mrs parker bowles should become princess consort as planned after charles becomes king. some 47% believe she should have no title  while 7% think she should become queen.  the poll also found that the majority of britons would prefer the monarchy to miss a generation  with the queen handing the throne to her grandson prince william  22  on her death or abdication. on thursday night  prince charles  56  and mrs parker bowles  57  hosted a dinner at windsor castle  their first public appearance since announcing their engagement. mrs parker bowles said the prince went down on one knee to propose and added:  i m just coming down to earth.  she displayed her diamond engagement ring - a royal family heirloom - to reporters. charles said he and his wife-to-be were  absolutely delighted . their marriage will end years of speculation on a relationship which dates back to 1970.  the queen and duke of edinburgh said the news had made them  very happy . princes william and harry said they are  very happy  and wish the couple  all the luck in the future . the wedding will be a civil ceremony followed by a service of prayer and dedication in st george s chapel at which the archbishop of canterbury  dr rowan williams  will preside.  the marriage is likely to be a sensitive issue because mrs parker bowles is divorced and her former husband is still alive. if he became king  charles would be the supreme governor of the church of england and some anglicans remain opposed to the remarriage of divorcees.  his divorce from diana and the disappointment the country felt over how diana had been treated... opened up a sense of disillusionment with [prince charles]   said ros coward  who wrote the authorised biography of diana  princess of wales. the archbishop of canterbury said:  i am pleased that prince charles and mrs camilla parker bowles have decided to take this important step.  tony blair said he was  delighted  for the couple and offered his congratulations  as did conservative leader michael howard and liberal democrat leader charles kennedy. australia s prime minister john howard also offered his congratulations  adding that their decision to marry was a  sensible and a good thing . mrs parker bowles has joined the prince at numerous engagements in recent years - mostly at evening events for the prince s trust. clarence house staff were at pains to point out that she attended these events in a private capacity.,politics
39,debate needed  on donations cap a cap on donations to political parties should not be introduced yet  the elections watchdog has said.  fears that big donors can buy political favours have sparked calls for a limit. in a new report  the electoral commission says it is worth debating a £10 000 cap for the future but now is not the right time to introduce it. it also says there should be more state funding for political parties and candidates should be able to spend more on election campaigning.  there were almost £68m in reported donations to political parties in 2001  2002 and 2003  with nearly £12m of them from individual gifts worth more than £1m. the rules have already been changed so the public can see who gives how much to the parties but the report says there are still public suspicions. the commission says capping donations would mean taxpayers giving parties more cash - something which would first have to be acceptable to the public and shown to work.  while we are not in principle opposed to the introduction of a donation cap  we do not believe that such a major departure from the existing system now would be sensible   says its report. if there was to be a cap  it should be £10 000 - a small enough amount to make a difference but which would have banned £56m in donations between 2001 and 2003.  even without changes the commission does urge political parties to seek out more small-scale donations and suggests there should be income tax relief for gifts under £200. it also suggests increasing state funding for parties to £3m so help can be extended to all parties with at least two members in the house of commons  european parliament  scottish parliament  welsh assembly or northern ireland assembly. and it suggests new ways of boosting election campaigning  seen as a way of improving voter turnout. all local election candidates should be entitled to a free mailshot for campaign leaflets  says the watchdog. and there should be a shift in the amount of money allowed to be spent at elections from a national level to a local level to help politicians engage better with voters.  the report suggests doubling the money which can be spent by candidates  while cutting national spending limits from £20m to £15m. the commission also says the spending limits for general elections should cover the four months before the poll - as happens with other elections. electoral commission chairman sam younger said:  there is no doubt that political parties have a vital role to play in maintaining the health of our democracy and for this they need to be adequately resourced.  our research has shown that people want to be more informed about party politics and that they want politicians to be more visible and accessible.  the public are reluctant for the state to fund parties but at the same time are unhappy with large private donations.  he called for a wider public debate on party funding to find the consensus needed for radical changes to the current system.,politics
47,jamieson issues warning to bigots scotland s justice minister has warned bigoted soccer fans that she wants to hit them  where it hurts most  by banning them from matches.  cathy jamieson said exclusion orders are one of a series of measures being considered in the scottish executive campaign against sectarianism. she praised celtic and rangers for their work in tackling the problem. however  the minister said stopping sectarian abuse associated with old firm matches is a key objective. ms jamieson was speaking ahead of the third round scottish cup clash between the glasgow clubs at parkhead on sunday. the sectarianism long associated with sections of the support from both clubs has become a significant target for the executive. last week ms jamieson and first minister jack mcconnell met supporters  representatives from both clubs to discuss the issue.  they plan to hold an anti-sectarian summit next month with officials from the clubs  church leaders  senior police officers and local authority chiefs among those to be invited. speaking on bbc radio scotland s sunday live programme  ms jamieson described friday s meeting as  very productive  and said putting the squeeze on the bigots would be a key aim. ms jamieson stressed that sectarianism has not been confined to football but it can act as a  trigger  for tensions and violence. clubs have taken action in the past to ban troublesome fans and supporters  groups expressed their desire to ensure that the game is no longer tainted by the problem.  ms jamieson said the executive should have a role in tackling the soccer troublemakers. she said:  we can t get away from the fact that in some instances some of the religious hatred that some people try to associate with football boils over into violence.  that is the kind of thing we want to stop and that s the kind of thing supporters  groups are very clear they don t want to be part of either  and they will work with us to try and deal with that.   ms jamieson praised the police for their action and said:  the police do want to identify whether there are particular individuals who are going over the top and inciting hatred or violence - they will crack down very effectively on them.  we have of course already indicated that we will consider the introduction of banning orders to give additional powers to where there are people who are going over the top  who have made inappropriate behaviour at football matches  to be able to stop them attending the games.  that s the kind of thing that will hit those kind of people where it hurts the most in not allowing them to attend the games   she said. praising celtic and rangers for their efforts  she said:  i don t think there is any doubt that we have seen some positive moves from the clubs.  both rangers and celtic football clubs have been involved in working with the executive to produce  for example  an educational pack for young people.,politics
49,england children s tsar appointed the first children s commissioner for england has been appointed.  great ormond street hospital professor of child health  al aynsley-green  was chosen by the government and will start the £100 000-a-year job immediately. he will oversee a £2.5m annual budget and have the power to look into  any matter relating to the interests and well-being of children . prof aynsley-green has also been the national clinical director for children in the department of health. he promised to make sure that children s opinions  count .   i will be drawing on my experience of working with children and young people to help ensure that those with the power to improve children s lives do live up to their responsibilities.  i want all children and young people to know that they can approach me to discuss any matter that affects them  knowing that i will value their opinion.  education secretary ruth kelly said prof aynsley-green would  strengthen the voice of children and young people . prof aynsley-green was a lecturer at oxford university  trained at guy s hospital medical school  university of london; oriel college  oxford; and in switzerland. he is described as  a proud grandfather  of four. scotland  wales and northern ireland already have children s commissioners.,politics
83,straw praises kashmir moves the uk has welcomed the decision by india and pakistan to open a bus link across the ceasefire line dividing the disputed region of kashmir.  foreign secretary jack straw  touring south east asian countries  praised the  spirit of cooperation  in achieving the breakthrough. media reports in both countries describe the deal as a major step in the ongoing peace process. mr straw said he hoped the agreement would make a difference to kashmiris. the bus service was one of several announcements made after a meeting of foreign ministers of both countries in islamabad on wednesday. kashmiri politicians on both sides of the line of control which divides the region welcomed the move.  in a statement  mr straw said the bus service between srinagar and muzaffarabad  will be able to reunite families that have been divided for decades .  this will make a real difference to the lives of kashmiris on both sides of the line of control   he said.  i warmly applaud the efforts of both india and pakistan to make this happen.  this spirit of cooperation will  i hope  lead to many more measures that will benefit all in the region.   on thursday mr straw was in india visiting sikhism s holiest shrine  the golden temple in amritsar where he tried his hand at making indian bread or roti. he is due to take part in talks with the indian government on friday. a second bus service linking the pakistani city of lahore with amritsar in india was also announced as well as a rail link between rajasthan state and pakistan s sindh province. both sides agreed to begin talks on reducing the risk of nuclear accidents and also said they planned to reopen their respective consulates in karachi and mumbai (bombay). the mountainous region of kashmir has been a flashpoint between the two nuclear powers for more than 50 years.,politics
86,hague  given up  his pm ambition former conservative leader william hague says he will not stand for the leadership again  having given up his ambition to be prime minister.  mr hague  43  told the daily telegraph he would now find a life dominated by politics too  boring  and unfulfilling. mr hague  who stepped down after his party s 2001 election defeat  does not rule out a return to the front bench. he also told the paper he hopes to remain mp for richmond  north yorks  and start a family with wife ffion. mr hague  who recently had published the biography of william pitt the younger  also said he wanted to continue writing books and speech-writing.  he told the newspaper:  i don t know whether i will ever go back on to the front  but don t rush me.  asked if he would stand for the leadership again  mr hague replied:  no. definitely not.  his determination to stay away from a central role will disappoint some senior conservative members  who say the party needs him. tim collins  the shadow education secretary  said last week it would be a  huge boost  to the party if mr hague returned to the front bench. mr hague became an mp at 27 and leader of the opposition at 36. he said:  i feel fortunate that  by the age of 40  i had crammed in an entire political career.  i had been in the cabinet and been leader of the party  so now i can branch out into other things...it is a very liberating feeling.  mr hague added that he may have misjudged his own ambition to be prime minister.  maybe i wasn t as driven by politics as i thought i was   he said.,politics
93,goldsmith:  i was not leant on  the attorney general has again denied being  leant on  by downing street to make the legal case for invading iraq.  claims a written answer on the legality of the war was drafted by downing street were  wholly unfounded   he insisted during stormy lords exchanges. lord goldsmith said the answer represented his  genuinely held independent view  the war was legal. the text was released on the eve of a crucial commons vote in which mps backed the invasion of iraq. many labour mps have since indicated that the attorney general s answer played a pivotal role in their willingness to back the conflict. the government has resisted calls to publish the full advice  saying such papers are always kept confidential. in the house of lords  the attorney general faced a call by former tory lord chancellor lord mackay to now publish the  full text  of the advice - the suggestion was rejected. another peer meanwhile  lord skidelsky  said not to publish the full legal opinion would  strengthen the suspicion that the the original text was doctored for public consumption  in exactly the same way as the notorious intelligence dossier on weapons of mass destruction .  last week lord goldsmith said in a statement:  i was fully involved throughout the drafting process and personally finalised  and of course approved  the answer.  he said the answer had been prepared in his office with the involvement of solicitor general harriet harman  two of his own officials  three foreign office officials  a qc  christopher greenwood and the then lord chancellor  lord irvine of lairg.  no other minister or official was involved in any way.   as i have always made clear  i set out in the answer my own genuinely held  independent view that military action was lawful under the existing (un) security council resolutions   he said.  the answer did not purport to be a summary of my confidential legal advice to government.  former foreign secretary robin cook said lord goldsmith s admission that his parliamentary answer was not a summary of his legal opinion suggested parliament may have been misled.  the attorney general may never have presented his answer as a summary  but others certainly did   he said.  what is clear from his statement today is that he does not believe that it was a full  accurate summary of his formal opinion.   tony blair has dismissed questions about the attorney general s advice  and said his parliamentary statement had been a  fair summary  of his opinion.  that s what he [lord goldsmith] said and that s what i say. he has dealt with this time and time and time again   mr blair told his monthly news conference in downing street. he refused to answer further questions on the issue. on the question of whether such papers have always been kept confidential  tory mp michael mates  who is a member of the commons intelligence and security committee and was part of the butler inquiry  told the bbc:  that  as a general rule  is right  but it s not an absolute rule.  he said there had been other occasions when advice had been published  most recently regarding prince charles s marriage plans. the government could not pick and choose when to use the convention  he said. mr mates added:  this may be one of those special occasions... when it would be in the public interest to see the advice which the attorney general gave to the prime minister.  a book published by philippe sands qc  a member of cherie blair s matrix chambers says lord goldsmith warned tony blair on 7 march 2003 that the iraq war could be illegal without a second un resolution sanctioning military action. a short statement about lord goldsmith s position presented in a written parliamentary answer on 17 march 2003 - just before a crucial commons vote on the military action - did not suggest this.,politics
