Dialogue,Y
No.No means no.Bonjour.Carl,0
That's so weird.Had your number dialed,0
"was about to press ""send. ""Did you block your number?Yeah",0
when I don't.So,0
- You did get my text,0
- What? Text? What?We're all going out tonight.Man,0
I wish I could join you.I'm just so jammed up.I'm totally off the grid,0
you know?No,0
There's this thing I gotta do.Any other night would've been great.,0
Darn it to heck.Thing? What thing?Thing,0
I could tell you what it is......but I know there's a thing.,0
- A thing.I don't think there's anything,0
written down in your fake calendar.No,0
Specific things.,0
"Like ""get in line at the video store""?What? What are you talking about?I'm not at the video store.",0
I'm in my apartment.I can see you,0
I'm outside the video store.- That's not me.,0
- It's not?Oh,0
There is this guy who looks just like me......who goes to a lot of,0
the same stores I do.That's probably who you're seeing.Wow,0
in sync with what you're saying.Carl,0
I know you're not talking.- What? All right.,0
- Carl.- Look who's here.,0
- Hey. You.Hi.- I don't believe it.,0
- Rooney.Carl Allen.,0
Never thought I'd see the day,0
- Thought you hung up the spurs,0
keep me pretty busy.Yeah? Oh,0
for you to be here,0
to make.Honey,0
- Right?- Big step,0
- Yeah,0
- Two years.Oh,0
an engagement party on the 21 st. Open bar.Oh,0
Always knows how to get me.Nice. Carl,0
- What's there to figure out?Oh,0
What's to figure out?- Open bar. What's the problem?,0
- I'm serious. Stephanie's at the bar.- The Stephanie?,0
- Yes,0
- They seem to be thriving. Good for her.They're touching each other's genitals.,0
Isn't that amazing?I'm so glad I came out. Love it.,0
Okay,0
- What?It's been years.,0
You leave every time she comes.Totally unrelated. It has nothing,0
to do with Stephanie.Carl. Peter.- Rooney.,0
- Stephanie,0
- Hey.- I don't believe we...,0
- No,0
- Yeah,0
because you just got here.You just got here,0
and there's no time.There's a time crunch,0
and time is of the essence.Anyway,0
Oh,0
- Morning,0
for a little breakfast?Gee,0
- Yeah,0
but thanks.Good show tonight.,0
Come check us out.Your loss. Hey,0
wanna rock out tonight?- Oh,0
- Yep.- Yes?,0
- No,0
No,0
- I'm not a soldier,0
of finance.Norman. Line one.Did you wanna get that?,0
In the privacy of your office?- I'll just get it here.,0
- Yeah,0
Okay. Yep. Whatever you say.Okay.Remember that promotion,0
we were talking about?- Yeah.,0
- It's not gonna happen.Tried to fight for you on the phone there.It was between you and Demko,0
and they went with Demko.I don't care.,0
I didn't really want the job badly.I just figured after five years,0
I'd be the logical choice,0
At least you didn't get shit-canned.- Do you know what that means?,0
- Fired?How did you know what that meant?,0
Have you heard me say that before?No,0
- Well,0
I'm having a little get-together at my place.- It's a funny hat and-or wig party.,0
- Oh,0
- When is it?- Friday.,0
- I'm out of town.You spoke at the same time,0
I did just then.Like you were committed,0
to saying what you were saying......regardless of what I was gonna say.,0
- Hm.I admit,0
for a small Rollerblade shop......what with Big 5,0
